F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.901,1.221,0.761,0.833,1.4110,0.57,0.376,0.195,0.218,0.197,1.901,1.221,0.761,0.833,1.411,0.57,0.376,0.195,0.218,0.197,17.117,A
1.853,1.219,0.82,0.873,1.347,0.595,0.393,0.203,0.208,0.208,1.853,1.219,0.82,0.873,1.347,0.595,0.393,0.203,0.208,0.208,19.416,A
1.866,1.219,0.818,0.873,1.369,0.586,0.387,0.18,0.223,0.205,1.866,1.219,0.818,0.873,1.369,0.586,0.387,0.18,0.223,0.205,16.279,A
1.721,1.214,0.795,0.858,1.17,0.641,0.415,0.208,0.244,0.232,1.721,1.214,0.795,0.858,1.17,0.641,0.415,0.208,0.244,0.232,22.561,A
1.793,1.231,0.792,0.866,1.271,0.631,0.396,0.198,0.232,0.24,1.793,1.231,0.792,0.866,1.271,0.631,0.396,0.198,0.232,0.24,19.647,A
1.932,1.262,0.819,0.903,1.417,0.586,0.363,0.184,0.205,0.232,1.932,1.262,0.819,0.903,1.417,0.586,0.363,0.184,0.205,0.232,18.248,A
1.881,1.241,0.797,0.913,1.387,0.583,0.381,0.207,0.214,0.214,1.881,1.241,0.797,0.913,1.387,0.583,0.381,0.207,0.214,0.214,17.263,A
1.855,1.224,0.799,0.844,1.35,0.585,0.368,0.178,0.213,0.22,1.855,1.224,0.799,0.844,1.35,0.585,0.368,0.178,0.213,0.22,18.248,A
1.773,1.209,0.857,0.903,1.24,0.587,0.373,0.174,0.213,0.222,1.773,1.209,0.857,0.903,1.24,0.587,0.373,0.174,0.213,0.222,18.682,A
1.881,1.217,0.825,0.94,1.372,0.578,0.383,0.209,0.206,0.206,1.881,1.217,0.825,0.94,1.372,0.578,0.383,0.209,0.206,0.206,17.263,A
1.89,1.231,0.792,0.893,1.347,0.589,0.369,0.192,0.219,0.226,1.89,1.231,0.792,0.893,1.347,0.589,0.369,0.192,0.219,0.226,18.111,A
1.986,1.297,0.825,0.91,1.468,0.576,0.334,0.179,0.183,0.253,1.986,1.297,0.825,0.91,1.468,0.576,0.334,0.179,0.183,0.253,16.279,A
1.842,1.212,0.799,0.896,1.297,0.577,0.374,0.194,0.222,0.211,1.842,1.212,0.799,0.896,1.297,0.577,0.374,0.194,0.222,0.211,18.439,A
1.877,1.234,0.813,0.912,1.349,0.597,0.383,0.19,0.224,0.224,1.877,1.234,0.813,0.912,1.349,0.597,0.383,0.19,0.224,0.224,16.492,A
1.922,1.225,0.858,0.928,1.467,0.568,0.363,0.19,0.186,0.211,1.922,1.225,0.858,0.928,1.467,0.568,0.363,0.19,0.186,0.211,15.524,A
1.817,1.214,0.819,0.884,1.272,0.584,0.378,0.171,0.232,0.213,1.817,1.214,0.819,0.884,1.272,0.584,0.378,0.171,0.232,0.213,17.72,A
1.956,1.266,0.853,0.9,1.418,0.57,0.334,0.175,0.173,0.243,1.956,1.266,0.853,0.9,1.418,0.57,0.334,0.175,0.173,0.243,16.125,A
1.946,1.262,0.819,0.911,1.463,0.585,0.371,0.197,0.199,0.225,1.946,1.262,0.819,0.911,1.463,0.585,0.371,0.197,0.199,0.225,17.464,A
1.842,1.224,0.825,0.902,1.319,0.606,0.387,0.205,0.207,0.225,1.842,1.224,0.825,0.902,1.319,0.606,0.387,0.205,0.207,0.225,18.248,A
1.805,1.214,0.847,0.941,1.243,0.607,0.403,0.221,0.209,0.218,1.805,1.214,0.847,0.941,1.243,0.607,0.403,0.221,0.209,0.218,19.647,A
1.917,1.243,0.82,0.919,1.376,0.558,0.359,0.188,0.204,0.214,1.917,1.243,0.82,0.919,1.376,0.558,0.359,0.188,0.204,0.214,15.297,A
1.893,1.231,0.847,0.893,1.376,0.577,0.362,0.179,0.195,0.221,1.893,1.231,0.847,0.893,1.376,0.577,0.362,0.179,0.195,0.221,16.279,A
1.931,1.256,0.847,0.893,1.414,0.567,0.352,0.175,0.19,0.225,1.931,1.256,0.847,0.893,1.414,0.567,0.352,0.175,0.19,0.225,17.263,A
1.901,1.221,0.788,0.88,1.357,0.561,0.363,0.189,0.215,0.205,1.901,1.221,0.788,0.88,1.357,0.561,0.363,0.189,0.215,0.205,17.263,A
1.954,1.264,0.812,0.889,1.422,0.579,0.359,0.162,0.22,0.23,1.954,1.264,0.812,0.889,1.422,0.579,0.359,0.162,0.22,0.23,17.117,A
1.882,1.2,0.852,0.917,1.326,0.554,0.343,0.165,0.197,0.216,1.882,1.2,0.852,0.917,1.326,0.554,0.343,0.165,0.197,0.216,16.492,A
1.968,1.264,0.813,0.917,1.428,0.571,0.355,0.186,0.202,0.228,1.968,1.264,0.813,0.917,1.428,0.571,0.355,0.186,0.202,0.228,16.279,A
1.951,1.266,0.834,0.936,1.4,0.591,0.377,0.188,0.213,0.231,1.951,1.266,0.834,0.936,1.4,0.591,0.377,0.188,0.213,0.231,18.111,A
1.982,1.264,0.813,0.95,1.459,0.572,0.365,0.207,0.197,0.224,1.982,1.264,0.813,0.95,1.459,0.572,0.365,0.207,0.197,0.224,15.297,A
1.805,1.214,0.847,0.941,1.243,0.607,0.403,0.221,0.209,0.218,1.805,1.214,0.847,0.941,1.243,0.607,0.403,0.221,0.209,0.218,18.439,A
1.877,1.258,0.815,0.933,1.312,0.594,0.371,0.203,0.212,0.24,1.877,1.258,0.815,0.933,1.312,0.594,0.371,0.203,0.212,0.24,17.464,A
1.943,1.26,0.805,0.948,1.411,0.588,0.388,0.201,0.228,0.22,1.943,1.26,0.805,0.948,1.411,0.588,0.388,0.201,0.228,0.22,20.396,A
1.944,1.264,0.813,0.917,1.413,0.577,0.359,0.188,0.204,0.231,1.944,1.264,0.813,0.917,1.413,0.577,0.359,0.188,0.204,0.231,16.279,A
1.893,1.244,0.822,0.914,1.338,0.588,0.349,0.193,0.192,0.246,1.893,1.244,0.822,0.914,1.338,0.588,0.349,0.193,0.192,0.246,17.263,A
1.851,1.206,0.788,0.876,1.319,0.591,0.381,0.188,0.231,0.213,1.851,1.206,0.788,0.876,1.319,0.591,0.381,0.188,0.231,0.213,16.125,A
1.914,1.221,0.788,0.912,1.387,0.562,0.372,0.21,0.211,0.201,1.914,1.221,0.788,0.912,1.387,0.562,0.372,0.21,0.211,0.201,15.297,A
2.036,1.312,0.838,0.936,1.467,0.571,0.334,0.186,0.175,0.255,2.036,1.312,0.838,0.936,1.467,0.571,0.334,0.186,0.175,0.255,17.117,A
1.901,1.234,0.842,0.933,1.327,0.583,0.367,0.193,0.201,0.228,1.901,1.234,0.842,0.933,1.327,0.583,0.367,0.193,0.201,0.228,17.117,A
1.944,1.227,0.813,0.944,1.397,0.554,0.361,0.197,0.206,0.206,1.944,1.227,0.813,0.944,1.397,0.554,0.361,0.197,0.206,0.206,17.263,A
1.958,1.264,0.841,0.923,1.459,0.577,0.366,0.196,0.189,0.224,1.958,1.264,0.841,0.923,1.459,0.577,0.366,0.196,0.189,0.224,17.464,A
1.882,1.2,0.852,0.922,1.349,0.564,0.357,0.182,0.194,0.212,1.882,1.2,0.852,0.922,1.349,0.564,0.357,0.182,0.194,0.212,17.263,A
1.877,1.258,0.845,0.933,1.312,0.594,0.371,0.215,0.184,0.24,1.877,1.258,0.845,0.933,1.312,0.594,0.371,0.215,0.184,0.24,18.439,A
1.901,1.247,0.842,0.933,1.327,0.603,0.367,0.193,0.201,0.246,1.901,1.247,0.842,0.933,1.327,0.603,0.367,0.193,0.201,0.246,17.263,A
1.905,1.221,0.869,0.907,1.372,0.549,0.357,0.178,0.187,0.203,1.905,1.221,0.869,0.907,1.372,0.549,0.357,0.178,0.187,0.203,16.279,A
1.859,1.213,0.852,0.922,1.335,0.589,0.36,0.183,0.196,0.233,1.859,1.213,0.852,0.922,1.335,0.589,0.36,0.183,0.196,0.233,17.464,A
1.914,1.258,0.842,0.907,1.364,0.577,0.359,0.183,0.195,0.231,1.914,1.258,0.842,0.907,1.364,0.577,0.359,0.183,0.195,0.231,17.117,A
1.928,1.234,0.815,0.907,1.387,0.562,0.353,0.185,0.201,0.218,1.928,1.234,0.815,0.907,1.387,0.562,0.353,0.185,0.201,0.218,16.279,A
1.824,1.236,0.837,0.898,1.278,0.625,0.4,0.214,0.206,0.234,1.824,1.236,0.837,0.898,1.278,0.625,0.4,0.214,0.206,0.234,19.416,A
1.928,1.247,0.842,0.907,1.387,0.581,0.353,0.18,0.192,0.235,1.928,1.247,0.842,0.907,1.387,0.581,0.353,0.18,0.192,0.235,16.279,A
1.902,1.223,0.837,0.894,1.36,0.549,0.357,0.182,0.194,0.203,1.902,1.223,0.837,0.894,1.36,0.549,0.357,0.182,0.194,0.203,16.279,A
0.879,0.997,0.997,0.935,0.066,1.414,1.265,1,0.447,0.283,0.879,0.997,0.997,0.935,0.066,1.414,1.265,1,0.447,0.283,19.235,B
0.856,0.997,0.986,0.935,0.091,1.286,1.152,0.869,0.286,0.202,0.856,0.997,0.986,0.935,0.091,1.286,1.152,0.869,0.286,0.202,17.72,B
0.867,0.997,0.985,0.957,0.107,0.884,0.75,0.5,0.25,0.177,0.867,0.997,0.985,0.957,0.107,0.884,0.75,0.5,0.25,0.177,20.881,B
0.858,0.971,0.96,0.939,0.124,0.869,0.949,0.537,0.435,0.236,0.858,0.971,0.96,0.939,0.124,0.869,0.949,0.537,0.435,0.236,20.224,B
0.869,0.989,0.985,0.943,0.095,1.14,1.131,0.849,0.283,0.141,0.869,0.989,0.985,0.943,0.095,1.14,1.131,0.849,0.283,0.141,21.19,B
0.874,0.989,0.988,0.953,0.093,1.178,1.152,0.714,0.452,0.143,0.874,0.989,0.988,0.953,0.093,1.178,1.152,0.714,0.452,0.143,18.028,B
0.839,0.997,0.971,0.944,0.109,1.098,0.97,0.485,0.485,0.171,0.839,0.997,0.971,0.944,0.109,1.098,0.97,0.485,0.485,0.171,18.248,B
0.869,0.978,0.974,0.936,0.098,1.266,1.236,0.971,0.307,0.275,0.869,0.978,0.974,0.936,0.098,1.266,1.236,0.971,0.307,0.275,21.024,B
0.855,0.981,0.966,0.936,0.094,1.152,1.286,0.869,0.452,0.202,0.855,0.981,0.966,0.936,0.094,1.152,1.286,0.869,0.452,0.202,21.19,B
0.857,0.986,0.96,0.938,0.093,1.457,1.286,0.728,0.589,0.319,0.857,0.986,0.96,0.938,0.093,1.457,1.286,0.728,0.589,0.319,17.029,B
0.856,0.982,0.978,0.942,0.119,1,1.09,0.767,0.325,0.153,0.856,0.982,0.978,0.942,0.119,1,1.09,0.767,0.325,0.153,19.026,B
0.892,0.978,0.966,0.929,0.078,1.749,1.715,1.213,0.542,0.343,0.892,0.978,0.966,0.929,0.078,1.749,1.715,1.213,0.542,0.343,17.72,B
0.848,0.986,0.96,0.92,0.092,1.562,1.421,0.849,0.583,0.316,0.848,0.986,0.96,0.92,0.092,1.562,1.421,0.849,0.583,0.316,21.587,B
0.848,0.979,0.96,0.932,0.105,1.265,1.24,0.754,0.511,0.248,0.848,0.979,0.96,0.932,0.105,1.265,1.24,0.754,0.511,0.248,19.925,B
0.856,0.987,0.977,0.942,0.094,1.304,1.131,0.707,0.424,0.316,0.856,0.987,0.977,0.942,0.094,1.304,1.131,0.707,0.424,0.316,18.028,B
0.857,0.989,0.985,0.943,0.093,1.14,1.131,0.849,0.283,0.141,0.857,0.989,0.985,0.943,0.093,1.14,1.131,0.849,0.283,0.141,19.105,B
