F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.117,1.741,0.887,0.857,0.88,1.299,0.536,0.245,0.291,0.859,1.117,1.741,0.887,0.857,0.88,1.299,0.536,0.245,0.291,0.859,83.187,1
1.16,1.822,0.859,0.809,0.89,1.392,0.559,0.272,0.288,0.931,1.16,1.822,0.859,0.809,0.89,1.392,0.559,0.272,0.288,0.931,82.735,1
1.112,1.756,0.904,0.873,0.864,1.314,0.523,0.25,0.273,0.893,1.112,1.756,0.904,0.873,0.864,1.314,0.523,0.25,0.273,0.893,83.193,1
1.11,1.77,0.894,0.872,0.885,1.336,0.526,0.257,0.27,0.897,1.11,1.77,0.894,0.872,0.885,1.336,0.526,0.257,0.27,0.897,84.534,1
1.138,1.771,0.884,0.837,0.886,1.32,0.523,0.266,0.258,0.885,1.138,1.771,0.884,0.837,0.886,1.32,0.523,0.266,0.258,0.885,82.292,1
1.131,1.766,0.877,0.832,0.879,1.339,0.514,0.249,0.266,0.895,1.131,1.766,0.877,0.832,0.879,1.339,0.514,0.249,0.266,0.895,83.187,1
1.111,1.741,0.884,0.822,0.856,1.343,0.556,0.278,0.278,0.877,1.111,1.741,0.884,0.822,0.856,1.343,0.556,0.278,0.278,0.877,84.095,1
1.142,1.823,0.894,0.876,0.874,1.362,0.541,0.265,0.277,0.951,1.142,1.823,0.894,0.876,0.874,1.362,0.541,0.265,0.277,0.951,84.077,1
1.066,1.668,0.869,0.857,0.83,1.293,0.521,0.253,0.275,0.839,1.066,1.668,0.869,0.857,0.83,1.293,0.521,0.253,0.275,0.839,84.971,1
1.108,1.763,0.892,0.851,0.871,1.346,0.541,0.251,0.29,0.895,1.108,1.763,0.892,0.851,0.871,1.346,0.541,0.251,0.29,0.895,82.735,1
1.114,1.722,0.867,0.82,0.843,1.347,0.58,0.274,0.306,0.866,1.114,1.722,0.867,0.82,0.843,1.347,0.58,0.274,0.306,0.866,82.735,1
1.143,1.781,0.868,0.824,0.87,1.336,0.553,0.27,0.284,0.901,1.143,1.781,0.868,0.824,0.87,1.336,0.553,0.27,0.284,0.901,82.735,1
1.079,1.705,0.868,0.856,0.843,1.325,0.513,0.24,0.279,0.875,1.079,1.705,0.868,0.856,0.843,1.325,0.513,0.24,0.279,0.875,84.077,1
1.086,1.711,0.871,0.849,0.849,1.322,0.517,0.244,0.277,0.87,1.086,1.711,0.871,0.849,0.849,1.322,0.517,0.244,0.277,0.87,83.187,1
1.081,1.697,0.878,0.844,0.799,1.358,0.539,0.258,0.283,0.896,1.081,1.697,0.878,0.844,0.799,1.358,0.539,0.258,0.283,0.896,82.298,1
1.114,1.744,0.889,0.84,0.83,1.365,0.535,0.263,0.272,0.916,1.114,1.744,0.889,0.84,0.83,1.365,0.535,0.263,0.272,0.916,83.187,1
1.115,1.753,0.885,0.842,0.856,1.352,0.558,0.275,0.283,0.893,1.115,1.753,0.885,0.842,0.856,1.352,0.558,0.275,0.283,0.893,83.187,1
1.129,1.768,0.869,0.851,0.841,1.365,0.544,0.268,0.281,0.926,1.129,1.768,0.869,0.851,0.841,1.365,0.544,0.268,0.281,0.926,81.413,1
1.084,1.679,0.871,0.826,0.837,1.308,0.496,0.235,0.263,0.854,1.084,1.679,0.871,0.826,0.837,1.308,0.496,0.235,0.263,0.854,82.292,1
1.186,1.835,0.919,0.888,0.865,1.38,0.516,0.25,0.266,0.982,1.186,1.835,0.919,0.888,0.865,1.38,0.516,0.25,0.266,0.982,81.884,1
