F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
2.122,1.155,0.945,0.975,2.166,0.433,0.3,0.146,0.154,0.134,2.122,1.155,0.945,0.975,2.166,0.433,0.3,0.146,0.154,0.134,15.524,A
2.127,1.149,0.95,0.982,2.168,0.431,0.292,0.139,0.153,0.139,2.127,1.149,0.95,0.982,2.168,0.431,0.292,0.139,0.153,0.139,15.811,A
2.132,1.149,0.95,0.985,2.179,0.435,0.296,0.144,0.152,0.139,2.132,1.149,0.95,0.985,2.179,0.435,0.296,0.144,0.152,0.139,16.492,A
1.996,1.13,0.936,0.95,2.011,0.444,0.302,0.141,0.161,0.142,1.996,1.13,0.936,0.95,2.011,0.444,0.302,0.141,0.161,0.142,18.439,A
2.115,1.156,0.954,1.016,2.17,0.441,0.295,0.141,0.153,0.146,2.115,1.156,0.954,1.016,2.17,0.441,0.295,0.141,0.153,0.146,19.313,A
1.858,1.138,0.815,0.784,1.52,0.471,0.327,0.149,0.183,0.144,1.858,1.138,0.815,0.784,1.52,0.471,0.327,0.149,0.183,0.144,32.062,A
2.11,1.156,0.931,0.952,2.118,0.428,0.292,0.143,0.149,0.136,2.11,1.156,0.931,0.952,2.118,0.428,0.292,0.143,0.149,0.136,14.56,A
2.107,1.147,0.949,0.976,2.13,0.431,0.292,0.139,0.153,0.139,2.107,1.147,0.949,0.976,2.13,0.431,0.292,0.139,0.153,0.139,17.72,A
2.135,1.149,0.945,0.97,2.154,0.43,0.293,0.143,0.15,0.137,2.135,1.149,0.945,0.97,2.154,0.43,0.293,0.143,0.15,0.137,15.524,A
2.138,1.152,0.945,0.952,2.14,0.425,0.285,0.139,0.147,0.139,2.138,1.152,0.945,0.952,2.14,0.425,0.285,0.139,0.147,0.139,14.866,A
2.119,1.159,0.962,0.987,2.142,0.44,0.294,0.146,0.149,0.146,2.119,1.159,0.962,0.987,2.142,0.44,0.294,0.146,0.149,0.146,19.416,A
2.107,1.151,0.945,0.992,2.155,0.444,0.305,0.146,0.159,0.139,2.107,1.151,0.945,0.992,2.155,0.444,0.305,0.146,0.159,0.139,17.464,A
2.081,1.142,0.954,0.973,2.103,0.433,0.293,0.14,0.154,0.14,2.081,1.142,0.954,0.973,2.103,0.433,0.293,0.14,0.154,0.14,18.439,A
2.124,1.139,0.951,0.961,2.128,0.419,0.285,0.139,0.147,0.133,2.124,1.139,0.951,0.961,2.128,0.419,0.285,0.139,0.147,0.133,18.682,A
2.105,1.164,0.952,0.971,2.126,0.439,0.293,0.14,0.154,0.146,2.105,1.164,0.952,0.971,2.126,0.439,0.293,0.14,0.154,0.146,18.682,A
2.116,1.147,0.949,0.976,2.128,0.431,0.292,0.139,0.153,0.139,2.116,1.147,0.949,0.976,2.128,0.431,0.292,0.139,0.153,0.139,19.647,A
2.062,1.14,0.952,0.981,2.081,0.437,0.298,0.145,0.153,0.139,2.062,1.14,0.952,0.981,2.081,0.437,0.298,0.145,0.153,0.139,20.248,A
2.055,1.139,0.95,0.963,2.058,0.434,0.296,0.144,0.152,0.139,2.055,1.139,0.95,0.963,2.058,0.434,0.296,0.144,0.152,0.139,18.439,A
2.09,1.158,0.952,0.971,2.117,0.441,0.298,0.148,0.15,0.143,2.09,1.158,0.952,0.971,2.117,0.441,0.298,0.148,0.15,0.143,15.811,A
2.049,1.148,0.95,0.977,2.058,0.44,0.302,0.151,0.152,0.138,2.049,1.148,0.95,0.977,2.058,0.44,0.302,0.151,0.152,0.138,19.416,A
2.093,1.152,0.95,0.98,2.117,0.441,0.296,0.144,0.152,0.144,2.093,1.152,0.95,0.98,2.117,0.441,0.296,0.144,0.152,0.144,18.682,A
0.98,1.036,0.963,0.888,0.211,0.718,0.533,0.362,0.176,0.236,0.98,1.036,0.963,0.888,0.211,0.718,0.533,0.362,0.176,0.236,14.765,B
0.966,1.036,0.963,0.902,0.193,0.71,0.51,0.325,0.194,0.26,0.966,1.036,0.963,0.902,0.193,0.71,0.51,0.325,0.194,0.26,15.524,B
0.975,1.036,0.968,0.903,0.191,0.723,0.51,0.338,0.183,0.235,0.975,1.036,0.968,0.903,0.191,0.723,0.51,0.338,0.183,0.235,13.342,B
0.977,1.036,0.961,0.882,0.21,0.753,0.565,0.377,0.196,0.216,0.977,1.036,0.961,0.882,0.21,0.753,0.565,0.377,0.196,0.216,15.264,B
0.976,1.029,0.961,0.875,0.22,0.72,0.57,0.392,0.188,0.188,0.976,1.029,0.961,0.875,0.22,0.72,0.57,0.392,0.188,0.188,14.765,B
0.962,1.02,0.961,0.863,0.22,0.723,0.625,0.452,0.188,0.144,0.962,1.02,0.961,0.863,0.22,0.723,0.625,0.452,0.188,0.144,12.649,B
0.955,1.027,0.961,0.876,0.201,0.765,0.618,0.425,0.204,0.175,0.955,1.027,0.961,0.876,0.201,0.765,0.618,0.425,0.204,0.175,14.318,B
0.969,1.029,0.96,0.868,0.214,0.769,0.618,0.431,0.212,0.193,0.969,1.029,0.96,0.868,0.214,0.769,0.618,0.431,0.212,0.193,14.318,B
0.969,1.027,0.953,0.86,0.218,0.784,0.647,0.427,0.234,0.162,0.969,1.027,0.953,0.86,0.218,0.784,0.647,0.427,0.234,0.162,14.56,B
0.956,1.02,0.961,0.86,0.204,0.806,0.691,0.496,0.202,0.155,0.956,1.02,0.961,0.86,0.204,0.806,0.691,0.496,0.202,0.155,14.318,B
0.968,1.02,0.969,0.876,0.223,0.657,0.556,0.419,0.142,0.142,0.968,1.02,0.969,0.876,0.223,0.657,0.556,0.419,0.142,0.142,13,B
0.945,1.019,0.959,0.873,0.2,0.746,0.64,0.432,0.227,0.128,0.945,1.019,0.959,0.873,0.2,0.746,0.64,0.432,0.227,0.128,13.928,B
0.966,1.026,0.966,0.872,0.219,0.718,0.591,0.431,0.185,0.139,0.966,1.026,0.966,0.872,0.219,0.718,0.591,0.431,0.185,0.139,13,B
0.968,1.019,0.968,0.888,0.217,0.618,0.52,0.368,0.164,0.119,0.968,1.019,0.968,0.888,0.217,0.618,0.52,0.368,0.164,0.119,14.318,B
0.97,1.02,0.968,0.881,0.214,0.67,0.558,0.405,0.167,0.149,0.97,1.02,0.968,0.881,0.214,0.67,0.558,0.405,0.167,0.149,13.892,B
0.969,1.028,0.967,0.879,0.217,0.7,0.558,0.405,0.167,0.167,0.969,1.028,0.967,0.879,0.217,0.7,0.558,0.405,0.167,0.167,12.083,B
0.98,1.028,0.967,0.892,0.219,0.641,0.495,0.34,0.167,0.167,0.98,1.028,0.967,0.892,0.219,0.641,0.495,0.34,0.167,0.167,11.705,B
0.999,1.038,0.976,0.896,0.233,0.631,0.449,0.346,0.113,0.226,0.999,1.038,0.976,0.896,0.233,0.631,0.449,0.346,0.113,0.226,11.18,B
0.984,1.038,0.969,0.889,0.215,0.708,0.515,0.372,0.151,0.243,0.984,1.038,0.969,0.889,0.215,0.708,0.515,0.372,0.151,0.243,12.083,B
0.981,1.027,0.961,0.881,0.221,0.677,0.54,0.36,0.188,0.161,0.981,1.027,0.961,0.881,0.221,0.677,0.54,0.36,0.188,0.161,10.817,B
0.976,1.029,0.961,0.883,0.216,0.689,0.54,0.362,0.191,0.191,0.976,1.029,0.961,0.883,0.216,0.689,0.54,0.362,0.191,0.191,12.083,B
0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,1.414,C
0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,0.866,0.972,1,0.948,0.336,0.086,0.189,0.189,0,0.103,1.414,C
0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,12.042,C
0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,0.782,1.001,1.002,0.931,0.411,0.176,0.197,0.187,0.037,0.059,12.042,C
0.759,0.993,0.992,0.893,0.24,0.416,0.508,0.501,0.059,0.291,0.759,0.993,0.992,0.893,0.24,0.416,0.508,0.501,0.059,0.291,43.139,C
0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0,C
0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0.859,0.971,0.997,0.923,0.337,0.151,0.233,0.22,0.019,0.086,0,C
