F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
2.391,1.259,0.825,0.764,2.087,0.481,0.308,0.145,0.163,0.173,2.391,1.259,0.825,0.764,2.087,0.481,0.308,0.145,0.163,0.173,18,A
2.393,1.231,0.845,0.802,2.081,0.469,0.306,0.144,0.163,0.163,2.393,1.231,0.845,0.802,2.081,0.469,0.306,0.144,0.163,0.163,16.031,A
2.308,1.235,0.798,0.76,1.988,0.485,0.318,0.148,0.171,0.168,2.308,1.235,0.798,0.76,1.988,0.485,0.318,0.148,0.171,0.168,16.125,A
2.337,1.197,0.796,0.704,1.998,0.448,0.295,0.132,0.163,0.156,2.337,1.197,0.796,0.704,1.998,0.448,0.295,0.132,0.163,0.156,18.111,A
2.294,1.204,0.807,0.758,1.988,0.457,0.303,0.145,0.159,0.154,2.294,1.204,0.807,0.758,1.988,0.457,0.303,0.145,0.159,0.154,13,A
2.279,1.216,0.816,0.787,1.974,0.507,0.348,0.159,0.188,0.159,2.279,1.216,0.816,0.787,1.974,0.507,0.348,0.159,0.188,0.159,17,A
1.996,1.13,0.936,0.95,2.011,0.444,0.302,0.141,0.161,0.142,1.996,1.13,0.936,0.95,2.011,0.444,0.302,0.141,0.161,0.142,18.439,A
2.481,1.239,0.816,0.808,2.166,0.462,0.304,0.147,0.159,0.157,2.481,1.239,0.816,0.808,2.166,0.462,0.304,0.147,0.159,0.157,13.038,A
2.28,1.223,0.798,0.798,1.957,0.491,0.33,0.16,0.173,0.161,2.28,1.223,0.798,0.798,1.957,0.491,0.33,0.16,0.173,0.161,15.033,A
2.325,1.224,0.827,0.773,2.046,0.481,0.319,0.145,0.173,0.163,2.325,1.224,0.827,0.773,2.046,0.481,0.319,0.145,0.173,0.163,19,A
2.371,1.24,0.789,0.778,2.052,0.466,0.304,0.141,0.166,0.162,2.371,1.24,0.789,0.778,2.052,0.466,0.304,0.141,0.166,0.162,18,A
1.89,1.231,0.792,0.893,1.347,0.589,0.369,0.192,0.219,0.226,1.89,1.231,0.792,0.893,1.347,0.589,0.369,0.192,0.219,0.226,18.111,A
2.315,1.222,0.793,0.725,1.944,0.457,0.294,0.135,0.16,0.163,2.315,1.222,0.793,0.725,1.944,0.457,0.294,0.135,0.16,0.163,16,A
2.36,1.219,0.794,0.726,2.063,0.475,0.317,0.144,0.173,0.16,2.36,1.219,0.794,0.726,2.063,0.475,0.317,0.144,0.173,0.16,15.133,A
2.481,1.26,0.822,0.81,2.214,0.487,0.321,0.147,0.175,0.166,2.481,1.26,0.822,0.81,2.214,0.487,0.321,0.147,0.175,0.166,15,A
2.453,1.26,0.806,0.77,2.133,0.474,0.312,0.151,0.162,0.162,2.453,1.26,0.806,0.77,2.133,0.474,0.312,0.151,0.162,0.162,15,A
2.397,1.246,0.821,0.772,2.076,0.468,0.305,0.143,0.163,0.163,2.397,1.246,0.821,0.772,2.076,0.468,0.305,0.143,0.163,0.163,15.033,A
2.336,1.234,0.809,0.757,2.027,0.487,0.325,0.153,0.173,0.162,2.336,1.234,0.809,0.757,2.027,0.487,0.325,0.153,0.173,0.162,18.248,A
2.373,1.234,0.794,0.725,2.058,0.453,0.294,0.132,0.163,0.159,2.373,1.234,0.794,0.725,2.058,0.453,0.294,0.132,0.163,0.159,13.038,A
2.51,1.275,0.805,0.771,2.219,0.483,0.324,0.157,0.167,0.159,2.51,1.275,0.805,0.771,2.219,0.483,0.324,0.157,0.167,0.159,13.038,A
2.362,1.233,0.813,0.806,2.061,0.482,0.321,0.15,0.171,0.161,2.362,1.233,0.813,0.806,2.061,0.482,0.321,0.15,0.171,0.161,17.029,A
2.434,1.266,0.82,0.824,2.154,0.489,0.319,0.159,0.161,0.17,2.434,1.266,0.82,0.824,2.154,0.489,0.319,0.159,0.161,0.17,15.033,A
2.287,1.201,0.81,0.753,2.018,0.481,0.326,0.158,0.169,0.156,2.287,1.201,0.81,0.753,2.018,0.481,0.326,0.158,0.169,0.156,16.031,A
2.423,1.214,0.837,0.8,2.109,0.458,0.305,0.152,0.153,0.152,2.423,1.214,0.837,0.8,2.109,0.458,0.305,0.152,0.153,0.152,11,A
2.363,1.241,0.8,0.774,2.067,0.476,0.317,0.148,0.17,0.159,2.363,1.241,0.8,0.774,2.067,0.476,0.317,0.148,0.17,0.159,15,A
2.317,1.212,0.793,0.737,1.999,0.468,0.306,0.146,0.161,0.164,2.317,1.212,0.793,0.737,1.999,0.468,0.306,0.146,0.161,0.164,16.125,A
2.365,1.234,0.791,0.798,2.065,0.485,0.326,0.158,0.171,0.159,2.365,1.234,0.791,0.798,2.065,0.485,0.326,0.158,0.171,0.159,16.125,A
2.401,1.253,0.812,0.784,2.129,0.494,0.326,0.167,0.16,0.168,2.401,1.253,0.812,0.784,2.129,0.494,0.326,0.167,0.16,0.168,15.033,A
2.304,1.222,0.842,0.788,1.993,0.478,0.319,0.159,0.159,0.159,2.304,1.222,0.842,0.788,1.993,0.478,0.319,0.159,0.159,0.159,16.031,A
2.431,1.254,0.799,0.769,2.121,0.481,0.315,0.138,0.177,0.166,2.431,1.254,0.799,0.769,2.121,0.481,0.315,0.138,0.177,0.166,15.033,A
2.426,1.246,0.798,0.817,2.133,0.479,0.313,0.147,0.169,0.166,2.426,1.246,0.798,0.817,2.133,0.479,0.313,0.147,0.169,0.166,14,A
2.241,1.216,0.807,0.757,1.935,0.488,0.326,0.152,0.174,0.162,2.241,1.216,0.807,0.757,1.935,0.488,0.326,0.152,0.174,0.162,16.031,A
2.363,1.24,0.823,0.787,2.024,0.474,0.304,0.142,0.163,0.17,2.363,1.24,0.823,0.787,2.024,0.474,0.304,0.142,0.163,0.17,15.033,A
2.398,1.212,0.812,0.773,2.042,0.447,0.287,0.132,0.155,0.16,2.398,1.212,0.812,0.773,2.042,0.447,0.287,0.132,0.155,0.16,16,A
2.363,1.241,0.822,0.814,2.085,0.506,0.337,0.168,0.169,0.169,2.363,1.241,0.822,0.814,2.085,0.506,0.337,0.168,0.169,0.169,14.036,A
2.391,1.24,0.827,0.787,2.059,0.466,0.298,0.148,0.151,0.168,2.391,1.24,0.827,0.787,2.059,0.466,0.298,0.148,0.151,0.168,14.036,A
2.513,1.252,0.831,0.816,2.251,0.471,0.311,0.151,0.16,0.16,2.513,1.252,0.831,0.816,2.251,0.471,0.311,0.151,0.16,0.16,11,A
2.275,1.229,0.807,0.771,2.004,0.486,0.327,0.148,0.179,0.159,2.275,1.229,0.807,0.771,2.004,0.486,0.327,0.148,0.179,0.159,15.033,A
2.457,1.26,0.845,0.841,2.187,0.495,0.33,0.174,0.156,0.166,2.457,1.26,0.845,0.841,2.187,0.495,0.33,0.174,0.156,0.166,12,A
2.32,1.22,0.831,0.787,2.021,0.473,0.313,0.151,0.162,0.16,2.32,1.22,0.831,0.787,2.021,0.473,0.313,0.151,0.162,0.16,15.033,A
2.323,1.228,0.8,0.774,2.035,0.474,0.322,0.15,0.173,0.152,2.323,1.228,0.8,0.774,2.035,0.474,0.322,0.15,0.173,0.152,16.125,A
2.383,1.252,0.821,0.763,2.059,0.478,0.303,0.146,0.157,0.175,2.383,1.252,0.821,0.763,2.059,0.478,0.303,0.146,0.157,0.175,17.029,A
2.389,1.233,0.794,0.768,2.101,0.475,0.317,0.148,0.17,0.158,2.389,1.233,0.794,0.768,2.101,0.475,0.317,0.148,0.17,0.158,13,A
2.442,1.275,0.802,0.778,2.172,0.493,0.325,0.157,0.168,0.168,2.442,1.275,0.802,0.778,2.172,0.493,0.325,0.157,0.168,0.168,14.036,A
2.218,1.208,0.823,0.783,1.932,0.489,0.327,0.162,0.166,0.162,2.218,1.208,0.823,0.783,1.932,0.489,0.327,0.162,0.166,0.162,19.026,A
2.577,1.249,0.839,0.836,2.327,0.459,0.303,0.147,0.156,0.156,2.577,1.249,0.839,0.836,2.327,0.459,0.303,0.147,0.156,0.156,13.038,A
2.322,1.216,0.785,0.764,2.06,0.476,0.324,0.151,0.174,0.152,2.322,1.216,0.785,0.764,2.06,0.476,0.324,0.151,0.174,0.152,14.036,A
2.298,1.22,0.787,0.746,2.033,0.494,0.329,0.158,0.172,0.166,2.298,1.22,0.787,0.746,2.033,0.494,0.329,0.158,0.172,0.166,13.153,A
2.347,1.218,0.85,0.85,2.06,0.488,0.322,0.165,0.157,0.166,2.347,1.218,0.85,0.85,2.06,0.488,0.322,0.165,0.157,0.166,13.038,A
